State,Source,Official/Unofficial,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Alabama,https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001090,Unofficial,"2,306,587","2,297,295",62.60%,"3,683,055","3,837,540",2.30%,"25,898","50,997","10,266","67,782",,AL
Alaska,https://www.elections.alaska.gov/results/20GENR/index.php,,"367,000",,69.80%,"525,568","551,117",3.40%,"4,293","2,074","1,348","6,927",,AK
Arizona,https://results.arizona.vote/#/featured/18/0,,"3,400,000",,65.50%,"5,189,000","5,798,473",8.90%,"38,520","76,844","7,536","93,699",,AZ
Arkansas,https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,Unofficial,"1,212,030","1,206,697",55.50%,"2,182,375","2,331,171",3.60%,"17,510","36,719","24,698","64,974",,AR
California,https://electionresults.sos.ca.gov/,Unofficial,"16,800,000",,64.70%,"25,962,648","30,783,255",15.00%,"104,730",0,"102,586","207,316",,CA
Colorado,https://results.enr.clarityelections.com/CO/105975/web.264614/#/summary,,"3,295,000",,76.40%,"4,313,054","4,595,504",5.70%,"18,905",0,0,"18,905",,CO
Connecticut,,,"1,850,000",,71.10%,"2,603,327","2,839,560",7.70%,"13,268",0,"4,452","17,720",,CT
Delaware,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,Unofficial,"507,805","502,392",70.50%,"720,531","780,822",5.80%,"5,874","14,176",350,"15,013",,DE
District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,,"350,000",,64.70%,"540,685","582,065",7.10%,0,0,0,0,,DC
Florida,https://floridaelectionwatch.gov/CountyReportingStatus,,"11,150,000",,71.70%,"15,551,739","17,543,341",10.10%,"91,674","205,033","4,345","223,139",,FL
Georgia,https://results.enr.clarityelections.com/GA/105369/web.264614/,,"5,025,000",,68.10%,"7,383,562","8,255,108",6.60%,"50,930","416,771","20,426","329,754",,GA
Hawaii,https://elections.hawaii.gov/wp-content/results/histatewide.pdf,Unofficial,"579,165","573,854",57.50%,"1,007,920","1,114,466",9.10%,"5,007",0,0,"5,007",,HI
Idaho,https://www.livevoterturnout.com/Idaho/LiveResults/1/en/Index_113.html,Unofficial,"875,000","867,258",67.70%,"1,292,701","1,384,683",4.10%,"8,378","34,392","5,267","34,968",,ID
Illinois,,,"6,100,000",,67.60%,"9,027,082","9,832,749",7.80%,"38,464",0,0,"38,464",,IL
Indiana,https://enr.indianavoters.in.gov/site/index.html,,"3,070,000",,61.40%,"5,000,007","5,214,546",3.60%,"26,302",0,0,"26,302",,IN
Iowa,https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,,"1,825,000",,78.60%,"2,321,131","2,439,743",3.50%,"9,216","29,137","6,652","33,933",,IA
Kansas,https://ent.sos.ks.gov/kssos_ent.html,Unofficial,"1,340,000","1,333,513",64.20%,"2,087,946","2,223,238",4.90%,"9,882","16,455","5,438","25,522",,KS
Kentucky,https://results.enr.clarityelections.com/KY/106379/web.264614/#/summary,Unofficial,"2,150,951","2,134,993",64.90%,"3,312,250","3,479,257",2.80%,"23,280","46,967","15,881","68,281",,KY
Louisiana,https://voterportal.sos.la.gov/graphical,Unofficial,"2,155,000","2,147,395",63.90%,"3,373,932","3,557,594",2.80%,"32,267","35,025","29,321","83,304",,LA
Maine,,,"860,000",,79.20%,"1,085,285","1,104,489",1.70%,0,0,0,0,,ME
Maryland,https://elections.maryland.gov/county_status_page_root.html,,"3,050,000",,70.70%,"4,313,416","4,729,400",8.40%,"18,165",0,0,"18,165",,MD
Massachusetts,,,"3,725,000",,73.40%,"5,072,901","5,566,452",8.70%,"7,772",0,0,"7,772",,MA
Michigan,https://mielections.us/election/results/2020GEN_CENR.html,Unofficial,"5,559,186","5,519,348",73.60%,"7,550,147","7,870,864",3.60%,"38,183",0,0,"38,183",,MI
Minnesota,https://electionresults.sos.state.mn.us/20201103,Unofficial,"3,290,000","3,278,405",79.90%,"4,118,462","4,378,737",4.10%,"9,712","100,076","7,381","79,140",,MN
Mississippi,,,"1,330,000",,60.40%,"2,201,950","2,279,412",1.40%,"19,244","27,294","9,866","46,032",,MS
Missouri,https://enr.sos.mo.gov/,Unofficial,"3,050,000","3,012,436",66.30%,"4,603,060","4,794,796",2.40%,"30,148","43,871","19,251","76,599",,MO
Montana,https://electionresults.mt.gov/,Unofficial,"612,055","603,635",73.10%,"837,298","851,663",1.20%,"3,754",0,0,"3,754",,MT
Nebraska,https://electionresults.nebraska.gov/,Unofficial,"948,852","935,232",68.60%,"1,383,551","1,469,878",4.80%,"5,263","14,894",958,"15,455",,NE
Nevada,,,"1,370,000",,63.60%,"2,153,915","2,450,946",11.60%,"12,399",0,0,"12,399",,NV
New Hampshire,https://sos.nh.gov/elections/elections/election-results/2020/general-election/,Unofficial,"814,092","803,833",75.40%,"1,079,434","1,115,916",3.00%,"2,635",0,0,"2,635",,NH
New Jersey,,,"4,495,000",,73.00%,"6,158,999","6,952,008",11.10%,"18,099",0,0,"18,099",,NJ
New Mexico,https://nmresults.azurewebsites.net/Default.aspx,Unofficial,"923,612","919,377",61.00%,"1,515,355","1,634,037",6.20%,"6,887","12,090","2,805","17,188",,NM
New York,,,"8,930,000",,65.30%,"13,670,596","15,372,655",10.50%,"42,408",0,"45,192","87,600",,NY
North Carolina,https://www.ncsbe.gov/results-data/election-results,,"5,600,000",,72.20%,"7,759,051","8,328,642",5.70%,"33,640","80,068","14,215","97,497",,NC
North Dakota,https://results.sos.nd.gov/Default.aspx?map=Cty,Unofficial,"365,000","357,916",64.60%,"565,143","584,610",3.00%,"1,679",0,0,"1,679",,ND
Ohio,https://liveresults.ohiosos.gov/,,"6,100,000",,68.90%,"8,859,167","9,144,626",2.60%,"49,892",0,0,"49,892",,OH
Oklahoma,https://www.ok.gov/elections/Election_Info/2020_November_General_Election.html,OFFICIAL,"1,565,000","1,560,699",55.00%,"2,845,835","3,031,792",4.30%,"27,558","41,562","1,780","55,106",,OK
Oregon,https://results.oregonvotes.gov/Default.aspx,Unofficial,"2,404,642","2,334,666",75.20%,"3,196,425","3,405,863",5.70%,"13,795",0,0,"13,795",,OR
Pennsylvania,https://www.electionreturns.pa.gov/,,"6,900,000",,70.50%,"9,781,976","10,186,170",3.50%,"44,148",0,0,"44,148",,PA
Rhode Island,,,"520,000",,65.00%,"799,642","857,507",6.40%,"2,766",0,0,"2,766",,RI
South Carolina,https://www.enr-scvotes.org/SC/106502/Web02-state.264691/#/?undefined,Unofficial,"2,532,995","2,513,314",64.50%,"3,926,305","4,116,633",3.60%,"18,587","31,975","4,980","43,392",,SC
South Dakota,http://electionresults.sd.gov/Default.aspx,Unofficial,"427,529","422,609",66.00%,"648,104","675,016",2.40%,"3,867","5,989","3,201","10,781",,SD
Tennessee,https://elections.tn.gov/results.php,Unofficial,"3,060,000","3,045,401",59.70%,"5,124,867","5,391,220",3.60%,"26,107","61,253","10,842","74,926",,TN
Texas,https://results.texas-election.com/races,Unofficial,"11,300,000","11,231,799",60.20%,"18,784,280","22,058,260",12.60%,"154,913","368,167","109,213","492,390",,TX
Utah,https://electionresults.utah.gov/elections/,,"1,450,000",,66.20%,"2,191,487","2,343,384",6.20%,"6,287",0,0,"6,287",,UT
Vermont,https://electionresults.vermont.gov/Index.html#/federal,,"370,000",,74.00%,"499,884","511,637",2.30%,0,0,0,0,,VT
Virginia,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Presidential.html,Unofficial,"4,425,000","4,409,913",71.40%,"6,196,071","6,727,440",6.80%,"35,743","63,111","1,860","76,732",,VA
Washington,https://results.vote.wa.gov/results/20201103/turnout.html,,"4,100,000",,75.40%,"5,437,844","6,070,046",9.10%,"18,777","76,672","12,222","78,536",,WA
West Virginia,,,"795,000",,57.00%,"1,394,028","1,422,098",0.90%,"6,757","6,593","4,287","15,132",,WV
Wisconsin,,,"3,325,000",,76.10%,"4,368,530","4,586,746",3.20%,"23,574","42,909","21,015","71,193",,WI
Wyoming,https://sos.wyo.gov/Elections/Docs/2020/2020GeneralResults.aspx,OFFICIAL,"278,503","276,765",64.60%,"431,364","447,915",2.20%,"2,488","5,383",934,"6,759",,WY
